GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,20,9,3,1,0,1,1
"Apr 07, 2022",BOS @ MIL,L,37,4,8,2,2,2,2
"Apr 06, 2022",BOS @ CHI,W,26,5,2,1,1,1,0
"Apr 03, 2022",BOS vs. WAS,W,28,16,3,0,0,2,2
"Apr 01, 2022",BOS vs. IND,W,27,7,5,0,1,0,1
"Mar 30, 2022",BOS vs. MIA,L,26,4,3,0,0,0,2
"Mar 28, 2022",BOS @ TOR,L,39,17,7,2,0,2,4
"Mar 27, 2022",BOS vs. MIN,W,28,7,3,0,0,1,0
"Mar 23, 2022",BOS vs. UTA,W,12,4,1,0,1,1,1
"Mar 21, 2022",BOS @ OKC,W,38,20,10,1,0,1,0
"Mar 20, 2022",BOS @ DEN,W,27,13,6,1,0,2,0
"Mar 18, 2022",BOS @ SAC,W,29,7,3,3,0,0,0
"Mar 16, 2022",BOS @ GSW,W,21,5,5,0,1,0,1
"Mar 13, 2022",BOS vs. DAL,L,22,2,4,0,1,0,1
"Mar 11, 2022",BOS vs. DET,W,18,7,3,2,0,0,1
"Mar 09, 2022",BOS @ CHA,W,31,7,8,0,1,1,1
"Mar 06, 2022",BOS vs. BKN,W,18,2,3,0,0,0,1
"Mar 03, 2022",BOS vs. MEM,W,35,11,4,1,0,0,0
"Mar 01, 2022",BOS vs. ATL,W,28,18,7,0,0,1,0
"Feb 27, 2022",BOS @ IND,L,34,4,2,0,1,1,2
"Feb 26, 2022",BOS @ DET,W,26,13,4,3,1,1,1
"Feb 24, 2022",BOS @ BKN,W,30,10,3,0,1,0,0
"Feb 16, 2022",BOS vs. DET,L,41,17,3,3,0,2,1
"Feb 15, 2022",BOS @ PHI,W,26,12,3,1,0,0,0
"Feb 13, 2022",BOS vs. ATL,W,27,5,4,1,1,0,0
"Feb 11, 2022",BOS vs. DEN,W,19,8,1,0,0,2,1
"Feb 08, 2022",BOS @ BKN,W,18,5,1,1,1,2,1
"Feb 06, 2022",BOS @ ORL,W,28,12,3,3,1,1,1
"Feb 04, 2022",BOS @ DET,W,26,7,2,2,0,1,0
"Feb 02, 2022",BOS vs. CHA,W,20,12,3,2,0,0,0
"Jan 31, 2022",BOS vs. MIA,W,24,10,3,1,2,1,1
"Jan 29, 2022",BOS @ NOP,W,23,3,6,0,0,1,2
"Jan 28, 2022",BOS @ ATL,L,23,0,3,0,1,1,0
"Jan 25, 2022",BOS vs. SAC,W,23,8,3,3,0,1,1
"Jan 23, 2022",BOS @ WAS,W,22,10,7,1,0,1,0
"Jan 21, 2022",BOS vs. POR,L,33,13,8,3,0,0,2
"Jan 19, 2022",BOS vs. CHA,L,25,6,2,1,1,1,1
"Jan 17, 2022",BOS vs. NOP,W,25,10,2,0,0,2,1
"Jan 15, 2022",BOS vs. CHI,W,14,3,1,1,0,0,0
"Jan 14, 2022",BOS @ PHI,L,14,5,2,2,0,0,1
"Jan 12, 2022",BOS @ IND,W,23,3,1,0,2,1,0
"Jan 10, 2022",BOS vs. IND,W,26,3,1,1,2,0,0
"Jan 08, 2022",BOS vs. NYK,W,22,6,3,1,0,2,0
"Jan 06, 2022",BOS @ NYK,L,15,0,0,2,0,2,0
"Jan 05, 2022",BOS vs. SAS,L,22,2,0,0,0,1,2
"Jan 02, 2022",BOS vs. ORL,W,39,5,6,0,2,0,3
"Dec 31, 2021",BOS vs. PHX,W,35,15,4,1,1,1,0
"Dec 29, 2021",BOS vs. LAC,L,21,6,5,1,1,0,2
"Dec 27, 2021",BOS @ MIN,L,28,15,6,1,1,0,3
"Dec 13, 2021",BOS vs. MIL,W,29,17,7,1,0,0,1
"Dec 10, 2021",BOS @ PHX,L,25,7,3,0,2,0,1
"Dec 08, 2021",BOS @ LAC,L,24,5,3,0,1,2,1
"Dec 07, 2021",BOS @ LAL,L,14,1,1,0,0,1,2
"Dec 04, 2021",BOS @ POR,W,33,10,4,1,1,2,0
"Dec 03, 2021",BOS @ UTA,L,27,6,1,3,0,0,2
"Dec 01, 2021",BOS vs. PHI,W,15,3,1,0,1,0,0
"Nov 28, 2021",BOS @ TOR,W,28,15,5,1,1,1,2
"Nov 26, 2021",BOS @ SAS,L,27,7,5,1,0,3,0
"Nov 24, 2021",BOS vs. BKN,L,22,8,4,1,1,1,1
"Nov 22, 2021",BOS vs. HOU,W,25,2,5,4,0,1,0
"Nov 20, 2021",BOS vs. OKC,W,35,14,8,1,1,2,0
"Nov 19, 2021",BOS vs. LAL,W,28,5,3,2,0,0,0
