GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",SAS @ DAL,L,32,15,4,3,1,0,2
"Apr 07, 2022",SAS @ MIN,L,30,18,2,0,2,0,1
"Apr 05, 2022",SAS @ DEN,W,34,20,8,4,1,1,1
"Apr 03, 2022",SAS vs. POR,W,30,8,6,5,4,0,0
"Apr 01, 2022",SAS vs. POR,W,27,22,4,3,0,0,1
"Mar 30, 2022",SAS vs. MEM,L,34,19,1,1,1,0,0
"Mar 28, 2022",SAS @ HOU,W,34,9,8,2,1,0,1
"Mar 23, 2022",SAS @ POR,W,24,16,4,5,2,0,0
"Mar 20, 2022",SAS @ GSW,W,33,12,6,1,3,0,2
"Mar 18, 2022",SAS vs. NOP,L,31,18,2,1,1,0,0
"Mar 16, 2022",SAS vs. OKC,W,32,3,1,3,0,0,0
"Mar 14, 2022",SAS vs. MIN,L,31,17,3,3,2,3,2
"Mar 12, 2022",SAS vs. IND,L,37,19,7,3,1,0,1
"Mar 11, 2022",SAS vs. UTA,W,27,8,7,1,0,1,2
"Mar 09, 2022",SAS vs. TOR,L,28,8,2,1,3,0,1
"Mar 05, 2022",SAS @ CHA,L,29,14,4,0,1,1,2
"Mar 03, 2022",SAS vs. SAC,L,29,14,4,1,0,2,1
"Feb 28, 2022",SAS @ MEM,L,33,10,5,5,1,0,0
"Feb 26, 2022",SAS @ MIA,L,27,22,5,4,1,1,3
"Feb 25, 2022",SAS @ WAS,W,42,12,8,4,2,0,0
"Feb 16, 2022",SAS @ OKC,W,33,15,5,6,0,1,1
"Feb 14, 2022",SAS @ CHI,L,24,5,0,1,1,1,1
"Feb 12, 2022",SAS @ NOP,W,31,14,4,4,1,1,1
"Feb 11, 2022",SAS @ ATL,W,28,20,5,3,1,0,0
"Feb 09, 2022",SAS @ CLE,L,28,18,3,3,2,0,0
"Feb 04, 2022",SAS vs. HOU,W,27,4,3,1,2,1,1
"Feb 03, 2022",SAS vs. MIA,L,23,7,3,3,2,0,1
"Feb 01, 2022",SAS vs. GSW,L,30,14,8,4,2,0,0
"Jan 30, 2022",SAS @ PHX,L,31,7,7,2,0,0,1
"Jan 28, 2022",SAS vs. CHI,W,22,11,4,2,0,0,0
"Jan 26, 2022",SAS vs. MEM,L,30,20,4,0,0,0,2
"Jan 25, 2022",SAS @ HOU,W,29,12,4,6,0,1,0
"Jan 23, 2022",SAS vs. PHI,L,20,15,4,1,0,0,0
"Jan 21, 2022",SAS vs. BKN,L,24,9,3,1,1,0,0
"Jan 19, 2022",SAS vs. OKC,W,23,19,8,1,2,2,0
"Jan 17, 2022",SAS vs. PHX,L,28,10,4,0,1,0,0
"Jan 15, 2022",SAS vs. LAC,W,31,10,11,1,1,1,1
"Jan 14, 2022",SAS vs. CLE,L,28,10,5,0,2,0,3
"Jan 12, 2022",SAS vs. HOU,L,22,12,5,0,0,1,0
"Jan 05, 2022",SAS @ BOS,W,32,17,6,0,0,2,2
"Jan 04, 2022",SAS @ TOR,L,28,15,2,3,0,0,2
"Jan 01, 2022",SAS @ DET,L,41,19,4,4,3,0,1
"Dec 31, 2021",SAS @ MEM,L,20,4,3,1,0,1,1
"Dec 27, 2021",SAS vs. UTA,L,29,13,6,0,0,0,0
"Dec 26, 2021",SAS vs. DET,W,19,8,4,2,3,1,3
"Dec 23, 2021",SAS @ LAL,W,19,5,3,1,0,0,1
"Dec 20, 2021",SAS @ LAC,W,26,6,8,3,0,1,0
"Dec 19, 2021",SAS @ SAC,L,28,11,2,1,0,1,2
"Dec 17, 2021",SAS @ UTA,W,24,13,6,1,1,0,0
"Dec 15, 2021",SAS vs. CHA,L,24,10,2,0,1,1,0
"Dec 12, 2021",SAS vs. NOP,W,21,2,3,2,1,2,1
"Dec 11, 2021",SAS vs. DEN,L,23,15,5,4,0,0,0
"Dec 09, 2021",SAS vs. DEN,W,17,9,5,0,1,2,0
"Dec 02, 2021",SAS @ POR,W,10,2,0,0,0,0,0
"Nov 24, 2021",SAS vs. ATL,L,22,3,3,2,2,1,0
"Nov 22, 2021",SAS vs. PHX,L,30,17,3,1,2,0,1
"Nov 18, 2021",SAS @ MIN,L,24,18,4,1,1,1,0
"Nov 16, 2021",SAS @ LAC,L,19,2,1,0,1,1,0
"Nov 14, 2021",SAS @ LAL,L,30,19,7,1,1,0,2
"Nov 12, 2021",SAS vs. DAL,L,30,20,2,1,0,2,1
"Nov 10, 2021",SAS vs. SAC,W,25,15,5,1,1,0,0
"Nov 07, 2021",SAS @ OKC,L,25,6,4,3,0,1,0
"Nov 05, 2021",SAS @ ORL,W,26,12,2,1,3,1,1
"Nov 03, 2021",SAS vs. DAL,L,31,21,3,1,0,2,2
"Nov 01, 2021",SAS @ IND,L,27,15,3,3,2,1,2
"Oct 30, 2021",SAS @ MIL,W,24,4,8,2,1,0,0
"Oct 28, 2021",SAS @ DAL,L,27,7,5,0,0,2,2
"Oct 26, 2021",SAS vs. LAL,L,35,19,7,2,2,0,0
"Oct 23, 2021",SAS vs. MIL,L,19,4,3,0,1,0,2
"Oct 22, 2021",SAS @ DEN,L,20,6,4,1,2,0,0
"Oct 20, 2021",SAS vs. ORL,W,25,19,2,5,2,0,0
