GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2023",OKC @ UTA,W,23,11,6,2,1,0,1
"Apr 04, 2023",OKC @ GSW,L,19,4,5,3,1,0,1
"Apr 02, 2023",OKC vs. PHX,L,20,7,8,2,1,0,1
"Mar 31, 2023",OKC @ IND,L,15,0,3,0,1,0,1
"Mar 29, 2023",OKC vs. DET,W,32,7,6,2,2,0,1
"Mar 28, 2023",OKC vs. CHA,L,18,3,6,4,0,0,0
"Mar 26, 2023",OKC @ POR,W,27,7,6,2,0,0,1
"Mar 24, 2023",OKC @ LAL,L,27,5,3,1,1,1,1
"Mar 23, 2023",OKC @ LAC,L,26,8,9,4,2,0,3
"Mar 21, 2023",OKC @ LAC,W,11,6,2,1,0,0,0
"Mar 19, 2023",OKC vs. PHX,W,21,10,6,0,0,1,0
"Mar 16, 2023",OKC @ TOR,L,14,5,3,0,0,0,0
"Mar 14, 2023",OKC vs. BKN,W,18,7,7,2,2,0,1
"Mar 12, 2023",OKC @ SAS,W,26,9,5,2,4,1,0
"Mar 11, 2023",OKC @ NOP,W,19,9,3,0,0,1,1
"Mar 08, 2023",OKC @ PHX,L,18,2,3,3,0,0,1
"Mar 07, 2023",OKC vs. GSW,W,27,15,6,2,1,0,1
"Mar 05, 2023",OKC vs. UTA,W,20,2,2,1,0,0,1
"Mar 03, 2023",OKC vs. UTA,W,31,3,9,1,0,2,1
"Mar 01, 2023",OKC vs. LAL,L,25,4,12,2,1,1,2
"Feb 28, 2023",OKC vs. SAC,L,17,6,3,0,0,0,0
"Feb 26, 2023",OKC vs. SAC,L,13,5,3,2,0,0,1
"Feb 24, 2023",OKC @ PHX,L,27,10,5,5,1,0,1
"Feb 23, 2023",OKC @ UTA,L,27,11,6,0,0,1,1
"Feb 15, 2023",OKC vs. HOU,W,26,8,16,0,2,0,1
"Feb 13, 2023",OKC vs. NOP,L,16,0,1,2,0,1,0
"Feb 10, 2023",OKC @ POR,W,18,11,2,1,0,0,0
"Feb 07, 2023",OKC @ LAL,W,31,14,7,7,2,0,0
"Feb 06, 2023",OKC @ GSW,L,21,5,5,0,0,0,0
"Feb 04, 2023",OKC vs. HOU,W,25,8,6,1,0,1,1
"Feb 01, 2023",OKC @ HOU,L,12,7,4,1,0,1,0
"Jan 30, 2023",OKC vs. GSW,L,18,12,8,3,1,0,0
"Jan 27, 2023",OKC vs. CLE,W,19,8,6,2,0,0,0
"Jan 22, 2023",OKC @ DEN,W,7,0,2,0,0,0,0
"Jan 20, 2023",OKC @ SAC,L,25,4,6,2,0,0,1
"Jan 18, 2023",OKC vs. IND,W,17,5,0,1,0,0,5
"Jan 15, 2023",OKC @ BKN,W,12,6,7,1,0,0,1
"Jan 12, 2023",OKC @ PHI,W,18,11,5,2,0,0,1
"Jan 04, 2023",OKC @ ORL,L,12,3,2,0,0,0,0
"Jan 03, 2023",OKC vs. BOS,W,16,8,7,3,2,0,1
"Dec 31, 2022",OKC vs. PHI,L,18,1,4,1,0,0,1
"Dec 29, 2022",OKC @ CHA,L,24,0,10,1,0,1,2
"Dec 17, 2022",OKC vs. MEM,W,15,7,4,2,1,0,0
"Dec 07, 2022",OKC @ MEM,L,11,0,2,2,1,0,0
"Nov 18, 2022",OKC @ MEM,L,8,6,0,0,0,0,1
"Nov 16, 2022",OKC @ WAS,W,6,0,0,1,0,0,1
"Nov 14, 2022",OKC @ BOS,L,8,2,3,0,0,0,0
"Nov 05, 2022",OKC @ MIL,L,5,2,1,0,1,0,0
"Oct 23, 2022",OKC vs. MIN,L,8,4,6,2,0,0,0
